ZIP,Brown Bills,Disconnections
40004,1582,235
40006,316,18
40010,375,11
40011,221,5
40013,25,2
40014,8955,393
40018,6,
40019,712,43
40023,1149,22
40025,36,
40026,1827,112
40027,29,3
40031,4484,147
40033,6,
40037,126,10
40041,58,3
40047,6289,203
40048,8,
40050,380,2
40055,205,6
40056,1623,62
40057,455,6
40059,6066,402
40067,529,14
40068,162,4
40069,2,1
40071,156,
40077,341,17
40107,6,
40108,2590,40
40109,465,22
40110,9,
40118,11064,808
40150,106,13
40155,1234,83
40160,2956,16
40162,138,1
40165,12658,823
40175,831,36
40177,1821,45
40202,6397,383
40203,25716,2003
40204,12367,580
40205,9799,510
40206,14320,1030
40207,14641,781
40208,17658,712
40209,829,25
40210,23835,1201
40211,41046,3261
40212,29269,1925
40213,16021,665
40214,43504,3824
40215,32957,1793
40216,61063,3409
40217,10812,214
40218,33958,1960
40219,42803,2874
40220,22941,1433
40222,12764,959
40223,12573,1286
40225,2,
40228,16006,1302
40229,36283,1560
40231,1,
40241,15486,1247
40242,6894,371
40243,6572,484
40245,16726,1042
40258,30816,2094
40272,39875,2975
40291,28775,1739
40299,28031,1369
40361,1,
42127,1,
42214,43,3
42701,120,13
42716,124,6
42722,24,2
42746,4,1
42748,586,49
42749,8,1
42757,105,10
42764,5,1
42776,2,
